# This file was machine generated by the rptp2ucm tool
ibm-835_P100-1995.ucm,34B00343.RPMAP100,034334B0.TPMAP100
ibm-835_X100-1995.ucm,34B00343.RXMAP100,034334B0.TXMAP100
ibm-836_P100-1995.ucm,34B00344.RPMAP100,034434B0.TPMAP100
ibm-837_P100-1995.ucm,34B00345.RPMAP100,034534B0.TPMAP100
ibm-837_X100-1995.ucm,34B00345.RXMAP100,034534B0.TXMAP100
ibm-838_P100-1995.ucm,34B00346.RPMAP100,034634B0.TPMAP100
ibm-8482_P100-1999.ucm,44B02122.RPMAP100,212244B0.TPMAP100
ibm-848_P100-1999.ucm,44B00350.RPMAP100,035044B0.TPMAP100
ibm-849_P100-1999.ucm,44B00351.RPMAP100,035144B0.TPMAP100
ibm-850_P100-1999.ucm,34B00352.RPMAP100,035234B0.TPMAP100
ibm-851_P100-1995.ucm,34B00353.RPMAP100,035334B0.TPMAP100
ibm-852_P100-1999.ucm,34B00354.RPMAP100,035434B0.TPMAP100
ibm-855_P100-1995.ucm,34B00357.RPMAP100,035734B0.TPMAP100
ibm-856_P100-1995.ucm,34B00358.RPMAP100,035834B0.TPMAP100
ibm-857_P100-1995.ucm,34B00359.RPMAP100,035934B0.TPMAP100
ibm-858_P100-1997.ucm,44B0035A.RPMAP100,035A44B0.TPMAP100
ibm-859_P100-1999.ucm,44B0035B.RPMAP100,035B44B0.TPMAP100
ibm-860_P100-1995.ucm,34B0035C.RPMAP100,035C34B0.TPMAP100
ibm-8612_P100-1995.ucm,34B021A4.RPMAP100,21A434B0.TPMAP100
ibm-8612_X110-1995.ucm,34B021A4.RXMAP110,21A434B0.TXMAP110
ibm-861_P100-1995.ucm,34B0035D.RPMAP100,035D34B0.TPMAP100
ibm-862_P100-1995.ucm,34B0035E.RPMAP100,035E34B0.TPMAP100
ibm-863_P100-1995.ucm,34B0035F.RPMAP100,035F34B0.TPMAP100
ibm-864_X110-1999.ucm,34B00360.RXMAP110,036034B0.TXMAP110
ibm-865_P100-1995.ucm,34B00361.RPMAP100,036134B0.TPMAP100
ibm-866_P100-1995.ucm,34B00362.RPMAP100,036234B0.TPMAP100
ibm-867_P100-1998.ucm,44B00363.RPMAP100,036344B0.TPMAP100
ibm-868_P100-1995.ucm,34B00364.RPMAP100,036434B0.TPMAP100
ibm-868_X100-1995.ucm,34B00364.RXMAP100,036434B0.TXMAP100
ibm-869_P100-1995.ucm,34B00365.RPMAP100,036534B0.TPMAP100
ibm-870_P100-1999.ucm,34B00366.RPMAP100,036634B0.TPMAP100
ibm-871_P100-1999.ucm,34B00367.RPMAP100,036734B0.TPMAP100
ibm-872_P100-1999.ucm,44B00368.RPMAP100,036844B0.TPMAP100
ibm-874_P100-1995.ucm,34B0036A.RPMAP100,036A34B0.TPMAP100
ibm-875_P100-1995.ucm,34B0036B.RPMAP100,036B34B0.TPMAP100
ibm-878_P100-1996.ucm,34B0036E.RPMAP100,036E34B0.TPMAP100
ibm-880_P100-1995.ucm,34B00370.RPMAP100,037034B0.TPMAP100
ibm-891_P100-1995.ucm,34B0037B.RPMAP100,037B34B0.TPMAP100
ibm-895_P100-1995.ucm,34B0037F.RPMAP100,037F34B0.TPMAP100
ibm-896_P100-1995.ucm,34B00380.RPMAP100,038034B0.TPMAP100
ibm-897_P100-1995.ucm,34B00381.RPMAP100,038134B0.TPMAP100
ibm-9005_X100-2005.ucm,54B0232D.RXMAP100,232D54B0.TXMAP100
